Survived,Pclass,Sex,Age,Fare,Cabin,Embarked,Family
0,1,male,28.0,27.7208,NA,C,0
1,3,male,28.0,15.2458,NA,C,2
1,2,female,29.0,10.5,F33,S,0
0,3,male,19.0,8.1583,NA,S,0
1,3,female,17.0,7.925,NA,S,6
0,3,male,26.0,8.6625,NA,S,2
0,2,male,32.0,10.5,NA,S,0
0,3,female,16.0,46.9,NA,S,7
0,2,male,21.0,73.5,NA,S,0
0,3,male,26.0,14.4542,NA,C,1
1,3,male,32.0,56.4958,NA,S,0
0,3,male,25.0,7.65,F G73,S,0
0,3,male,28.0,7.8958,NA,S,0
0,3,male,28.0,8.05,NA,S,0
1,2,male,0.83,29.0,NA,S,2
1,3,female,30.0,12.475,NA,S,0
0,3,male,22.0,9.0,NA,S,0
1,3,male,29.0,9.5,NA,S,0
1,3,female,28.0,7.7875,NA,Q,0
0,1,male,28.0,47.1,NA,S,0
1,2,female,17.0,10.5,NA,S,0
1,3,female,33.0,15.85,NA,S,3
0,3,male,16.0,34.375,NA,S,4
0,3,male,28.0,8.05,NA,S,0
1,1,female,23.0,263.0,C23 C25 C27,S,5
0,3,male,24.0,8.05,NA,S,0
0,3,male,29.0,8.05,NA,S,0
0,3,male,20.0,7.8542,NA,S,0
0,1,male,46.0,61.175,E31,S,1
0,3,male,26.0,20.575,NA,S,3
0,3,male,59.0,7.25,NA,S,0
0,3,male,28.0,8.05,NA,S,0
0,1,male,71.0,34.6542,A5,C,0
1,1,male,23.0,63.3583,D10 D12,C,1
1,2,female,34.0,23.0,NA,S,1
0,2,male,34.0,26.0,NA,S,1
0,3,female,28.0,7.8958,NA,S,0
0,3,male,28.0,7.8958,NA,S,0
0,1,male,21.0,77.2875,D26,S,1
0,3,male,33.0,8.6542,NA,S,0
0,3,male,37.0,7.925,NA,S,2
0,3,male,28.0,7.8958,NA,S,0
1,3,female,21.0,7.65,NA,S,0
1,3,male,28.0,7.775,NA,S,0
0,3,male,38.0,7.8958,NA,S,0
1,3,female,28.0,24.15,NA,Q,1
0,1,male,47.0,52.0,C110,S,0
0,3,female,14.5,14.4542,NA,C,1
0,3,male,22.0,8.05,NA,S,0
0,3,female,20.0,9.825,NA,S,1
0,3,female,17.0,14.4583,NA,C,0
0,3,male,21.0,7.925,NA,S,0
0,3,male,70.5,7.75,NA,Q,0
0,2,male,29.0,21.0,NA,S,1
0,1,male,24.0,247.5208,B58 B60,C,1
0,3,female,2.0,31.275,NA,S,6
0,2,male,21.0,73.5,NA,S,2
0,3,male,28.0,8.05,NA,S,0
0,2,male,32.5,30.0708,NA,C,1
1,2,female,32.5,13.0,E101,S,0
0,1,male,54.0,77.2875,D26,S,1
1,3,male,12.0,11.2417,NA,C,1
0,3,male,28.0,7.75,NA,Q,0
1,3,male,24.0,7.1417,NA,S,0
1,3,female,28.0,22.3583,F E69,C,2
0,3,male,45.0,6.975,NA,S,0
0,3,male,33.0,7.8958,NA,C,0
0,3,male,20.0,7.05,NA,S,0
0,3,female,47.0,14.5,NA,S,1
1,2,female,29.0,26.0,NA,S,1
0,2,male,25.0,13.0,NA,S,0
0,2,male,23.0,15.0458,NA,C,0
1,1,female,19.0,26.2833,D47,S,2
0,1,male,37.0,53.1,C123,S,1
0,3,male,16.0,9.2167,NA,S,0
0,1,male,24.0,79.2,B86,C,0
0,3,female,28.0,15.2458,NA,C,2
1,3,female,22.0,7.75,NA,S,0
1,3,female,24.0,15.85,NA,S,1
0,3,male,19.0,6.75,NA,Q,0
0,2,male,18.0,11.5,NA,S,0
0,2,male,19.0,36.75,NA,S,2
1,3,male,27.0,7.7958,NA,S,0
0,3,female,9.0,34.375,NA,S,4
0,2,male,36.5,26.0,F2,S,2
0,2,male,42.0,13.0,NA,S,0
0,2,male,51.0,12.525,NA,S,0
1,1,female,22.0,66.6,C2,S,1
0,3,male,55.5,8.05,NA,S,0
0,3,male,40.5,14.5,NA,S,2
0,3,male,28.0,7.3125,NA,S,0
0,1,male,51.0,61.3792,NA,C,1
1,3,female,16.0,7.7333,NA,Q,0
0,3,male,30.0,8.05,NA,S,0
0,3,male,28.0,8.6625,NA,S,0
0,3,male,28.0,69.55,NA,S,10
0,3,male,44.0,16.1,NA,S,1
1,2,female,40.0,15.75,NA,S,0
0,3,male,26.0,7.775,NA,S,0
0,3,male,17.0,8.6625,NA,S,0
0,3,male,1.0,39.6875,NA,S,5
1,3,male,9.0,20.525,NA,S,2
1,1,female,28.0,55.0,E33,S,1
0,3,female,45.0,27.9,NA,S,5
0,1,male,28.0,25.925,NA,S,0
0,3,male,28.0,56.4958,NA,S,0
0,1,male,61.0,33.5,B19,S,0
0,3,male,4.0,29.125,NA,Q,5
1,3,female,1.0,11.1333,NA,S,2
0,3,male,21.0,7.925,NA,S,0
0,1,male,56.0,30.6958,A7,C,0
0,3,male,18.0,7.8542,NA,S,2
0,3,male,28.0,25.4667,NA,S,4
0,1,female,50.0,28.7125,C49,C,0
0,2,male,30.0,13.0,NA,S,0
0,3,male,36.0,0.0,NA,S,0
0,3,female,28.0,69.55,NA,S,10
0,2,male,28.0,15.05,NA,C,0
0,3,male,9.0,31.3875,NA,S,6
1,2,male,1.0,39.0,F4,S,3
1,3,female,4.0,22.025,NA,S,2
0,1,male,28.0,50.0,A32,S,0
1,3,female,28.0,15.5,NA,Q,1
1,1,male,45.0,26.55,NA,S,0
0,3,male,40.0,15.5,NA,Q,2
0,3,male,36.0,7.8958,NA,S,0
1,2,female,32.0,13.0,NA,S,0
0,2,male,19.0,13.0,NA,S,0
1,3,female,19.0,7.8542,NA,S,1
1,2,male,3.0,26.0,F2,S,2
1,1,female,44.0,27.7208,B4,C,0
1,1,female,58.0,146.5208,B80,C,0
0,3,male,28.0,7.75,NA,Q,0
0,3,male,42.0,8.4042,NA,S,1
1,3,female,28.0,7.75,NA,Q,0
0,2,female,24.0,13.0,NA,S,0
0,3,male,28.0,9.5,NA,S,0
0,3,male,28.0,69.55,NA,S,10
0,3,male,34.0,6.4958,NA,S,0
0,3,male,45.5,7.225,NA,C,0
1,3,male,18.0,8.05,NA,S,0
0,3,female,2.0,10.4625,G6,S,1
0,3,male,32.0,15.85,NA,S,1
1,3,male,26.0,18.7875,NA,C,0
1,3,female,16.0,7.75,NA,Q,0
1,1,male,40.0,31.0,A31,C,0
0,3,male,24.0,7.05,NA,S,0
1,2,female,35.0,21.0,NA,S,0
0,3,male,22.0,7.25,NA,S,0
0,2,male,30.0,13.0,NA,S,0
0,3,male,28.0,7.75,NA,Q,1
1,1,female,31.0,113.275,D36,C,1
1,3,female,27.0,7.925,NA,S,0
0,2,male,42.0,27.0,NA,S,1
1,1,female,32.0,76.2917,D15,C,0
0,2,male,30.0,10.5,NA,S,0
1,3,male,16.0,8.05,NA,S,0
0,2,male,27.0,13.0,NA,S,0
0,3,male,51.0,8.05,NA,S,0
0,3,male,28.0,7.8958,NA,S,0
1,1,male,38.0,90.0,C93,S,1
0,3,male,22.0,9.35,NA,S,0
1,2,male,19.0,10.5,NA,S,0
0,3,male,20.5,7.25,NA,S,0
0,2,male,18.0,13.0,NA,S,0
0,3,female,28.0,25.4667,NA,S,4
1,1,female,35.0,83.475,C83,S,1
0,3,male,29.0,7.775,NA,S,0
0,2,male,59.0,13.5,NA,S,0
1,3,female,5.0,31.3875,NA,S,6
0,2,male,24.0,10.5,NA,S,0
0,3,female,28.0,7.55,NA,S,0
0,2,male,44.0,26.0,NA,S,1
1,2,female,8.0,26.25,NA,S,2
0,2,male,19.0,10.5,NA,S,0
0,2,male,33.0,12.275,NA,S,0
0,3,female,28.0,14.4542,NA,C,1
1,3,female,28.0,15.5,NA,Q,1
0,2,male,29.0,10.5,NA,S,0
0,3,male,22.0,7.125,NA,S,0
0,3,male,30.0,7.225,NA,C,0
0,1,male,44.0,90.0,C78,Q,2
0,3,female,25.0,7.775,NA,S,0
1,2,female,24.0,14.5,NA,S,2
1,1,male,37.0,52.5542,D35,S,2
0,2,male,54.0,26.0,NA,S,1
0,3,male,28.0,7.25,NA,S,0
0,3,female,29.0,10.4625,G6,S,2
0,1,male,62.0,26.55,C87,S,0
0,3,male,30.0,16.1,NA,S,1
0,3,female,41.0,20.2125,NA,S,2
1,3,female,29.0,15.2458,NA,C,2
1,1,female,28.0,79.2,NA,C,0
1,1,female,30.0,86.5,B77,S,0
1,1,female,35.0,512.3292,NA,C,0
1,2,female,50.0,26.0,NA,S,1
0,3,male,28.0,7.75,NA,Q,0
1,3,male,3.0,31.3875,NA,S,6
0,1,male,52.0,79.65,E67,S,2
0,1,male,40.0,0.0,B94,S,0
0,3,female,28.0,7.75,NA,Q,0
0,2,male,36.0,10.5,NA,S,0
0,3,male,16.0,39.6875,NA,S,5
1,3,male,25.0,7.775,NA,S,1
1,1,female,58.0,153.4625,C125,S,1
1,1,female,35.0,135.6333,C99,S,0
0,1,male,28.0,31.0,NA,S,0
1,3,male,25.0,0.0,NA,S,0
1,2,female,41.0,19.5,NA,S,1
0,1,male,37.0,29.7,C118,C,1
1,3,female,28.0,7.75,NA,Q,0
1,1,female,63.0,77.9583,D7,S,1
0,3,female,45.0,7.75,NA,S,0
0,2,male,28.0,0.0,NA,S,0
0,3,male,7.0,29.125,NA,Q,5
1,3,female,35.0,20.25,NA,S,2
0,3,male,65.0,7.75,NA,Q,0
0,3,male,28.0,7.8542,NA,S,0
0,3,male,16.0,9.5,NA,S,0
1,3,male,19.0,8.05,NA,S,0
0,1,male,28.0,26.0,A19,S,0
0,3,male,33.0,8.6625,NA,C,0
1,3,male,30.0,9.5,NA,S,0
0,3,male,22.0,7.8958,NA,S,0
1,2,male,42.0,13.0,NA,S,0
1,3,female,22.0,7.75,NA,Q,0
1,1,female,26.0,78.85,NA,S,0
1,1,female,19.0,91.0792,B49,C,1
0,2,male,36.0,12.875,D,C,0
0,3,female,24.0,8.85,NA,S,0
0,3,male,24.0,7.8958,NA,S,0
0,1,male,28.0,27.7208,NA,C,0
0,3,male,23.5,7.2292,NA,C,0
0,1,female,2.0,151.55,C22 C26,S,3
1,1,male,28.0,30.5,C106,S,0
1,1,female,50.0,247.5208,B58 B60,C,1
1,3,female,28.0,7.75,NA,Q,0
1,3,male,28.0,23.25,NA,Q,2
0,3,male,19.0,0.0,NA,S,0
1,2,female,28.0,12.35,E101,Q,0
0,3,male,28.0,8.05,NA,S,0
1,1,male,0.92,151.55,C22 C26,S,3
1,1,female,28.0,110.8833,NA,C,0
1,1,female,17.0,108.9,C65,C,1
0,2,male,30.0,24.0,NA,C,1
1,1,female,30.0,56.9292,E36,C,0
1,1,female,24.0,83.1583,C54,C,0
1,1,female,18.0,262.375,B57 B59 B63 B66,C,4
0,2,female,26.0,26.0,NA,S,2
0,3,male,28.0,7.8958,NA,S,0
0,2,male,43.0,26.25,NA,S,2
1,3,female,26.0,7.8542,NA,S,0
1,2,female,24.0,26.0,NA,S,1
0,2,male,54.0,14.0,NA,S,0
1,1,female,31.0,164.8667,C7,S,2
1,1,female,40.0,134.5,E34,C,2
0,3,male,22.0,7.25,NA,S,0
0,3,male,27.0,7.8958,NA,S,0
1,2,female,30.0,12.35,NA,Q,0
1,2,female,22.0,29.0,NA,S,2
0,3,male,28.0,69.55,NA,S,10
1,1,female,36.0,135.6333,C32,C,0
0,3,male,61.0,6.2375,NA,S,0
1,2,female,36.0,13.0,D,S,0
1,3,female,31.0,20.525,NA,S,2
1,1,female,16.0,57.9792,B18,C,1
1,3,female,28.0,23.25,NA,Q,2
0,1,male,45.5,28.5,C124,S,0
0,1,male,38.0,153.4625,C91,S,1
0,3,male,16.0,18.0,NA,S,2
1,1,female,28.0,133.65,NA,S,1
0,3,male,28.0,7.8958,NA,S,0
0,1,male,29.0,66.6,C2,S,1
1,1,female,41.0,134.5,E40,C,0
1,3,male,45.0,8.05,NA,S,0
0,1,male,45.0,35.5,T,S,0
1,2,male,2.0,26.0,F2,S,2
1,1,female,24.0,263.0,C23 C25 C27,S,5
0,2,male,28.0,13.0,NA,S,0
0,2,male,25.0,13.0,NA,S,0
0,2,male,36.0,13.0,NA,S,0
1,2,female,24.0,13.0,F33,S,0
1,2,female,40.0,13.0,NA,S,0
1,3,female,28.0,16.1,NA,S,1
1,3,male,3.0,15.9,NA,S,2
0,3,male,42.0,8.6625,NA,S,0
0,3,male,23.0,9.225,NA,S,0
0,1,male,28.0,35.0,C128,S,0
0,3,male,15.0,7.2292,NA,C,2
0,3,male,25.0,17.8,NA,S,1
0,3,male,28.0,7.225,NA,C,0
0,3,male,28.0,9.5,NA,S,0
1,1,female,22.0,55.0,E33,S,1
0,2,female,38.0,13.0,NA,S,0
1,3,female,28.0,7.8792,NA,Q,0
1,3,female,28.0,7.8792,NA,Q,0
0,3,male,40.0,27.9,NA,S,5
0,2,male,29.0,27.7208,NA,C,1
0,3,female,45.0,14.4542,NA,C,1
0,3,male,35.0,7.05,NA,S,0
0,3,male,28.0,15.5,NA,Q,1
0,3,male,30.0,7.25,NA,S,0
1,1,female,60.0,75.25,D37,C,1
1,3,female,28.0,7.2292,NA,C,0
1,3,female,28.0,7.75,NA,Q,0
1,1,female,24.0,69.3,B35,C,0
1,1,male,25.0,55.4417,E50,C,1
0,3,male,18.0,6.4958,NA,S,1
0,3,male,19.0,8.05,NA,S,0
0,1,male,22.0,135.6333,NA,C,0
0,3,female,3.0,21.075,NA,S,4
1,1,female,28.0,82.1708,NA,C,1
1,3,female,22.0,7.25,NA,S,0
0,1,male,27.0,211.5,C82,C,2
0,3,male,20.0,4.0125,NA,C,0
0,3,male,19.0,7.775,NA,S,0
1,1,female,42.0,227.525,NA,C,0
1,3,female,1.0,15.7417,NA,C,2
0,3,male,32.0,7.925,NA,S,0
1,1,female,35.0,52.0,NA,S,1
0,3,male,28.0,7.8958,NA,S,0
0,2,male,18.0,73.5,NA,S,0
0,3,male,1.0,46.9,NA,S,7
1,2,female,36.0,13.0,NA,S,0
0,3,male,28.0,7.7292,NA,Q,0
1,2,female,17.0,12.0,NA,C,0
1,1,male,36.0,120.0,B96 B98,S,3
1,3,male,21.0,7.7958,NA,S,0
0,3,male,28.0,7.925,NA,S,2
1,1,female,23.0,113.275,D36,C,1
1,3,female,24.0,16.7,G6,S,2
0,3,male,22.0,7.7958,NA,S,0
0,3,female,31.0,7.8542,NA,S,0
0,2,male,46.0,26.0,NA,S,0
0,2,male,23.0,10.5,NA,S,0
1,2,female,28.0,12.65,NA,S,0
1,3,male,39.0,7.925,NA,S,0
0,3,male,26.0,8.05,NA,S,0
0,3,female,21.0,9.825,NA,S,1
0,3,male,28.0,15.85,NA,S,1
0,3,female,20.0,8.6625,NA,S,0
0,2,male,34.0,21.0,NA,S,1
0,3,male,51.0,7.75,NA,S,0
1,2,male,3.0,18.75,NA,S,2
0,3,male,21.0,7.775,NA,S,0
0,3,female,28.0,25.4667,NA,S,4
0,3,male,28.0,7.8958,NA,S,0
0,3,male,28.0,6.8583,NA,Q,0
1,1,female,33.0,90.0,C78,Q,1
0,2,male,28.0,0.0,NA,S,0
1,3,male,44.0,7.925,NA,S,0
0,3,female,28.0,8.05,NA,S,0
1,2,female,34.0,32.5,NA,S,2
1,2,female,18.0,13.0,NA,S,2
0,2,male,30.0,13.0,NA,S,0
0,3,female,10.0,24.15,NA,S,2
0,3,male,28.0,7.8958,NA,C,0
0,3,male,21.0,7.7333,NA,Q,0
0,3,male,29.0,7.875,NA,S,0
0,3,female,28.0,14.4,NA,S,2
0,3,male,18.0,20.2125,NA,S,2
0,3,male,28.0,7.25,NA,S,0
1,2,female,28.0,26.0,NA,S,1
1,2,female,19.0,26.0,NA,S,0
0,3,male,28.0,7.75,NA,Q,0
1,3,male,32.0,8.05,E10,S,0
1,1,male,28.0,26.55,C52,S,0
1,3,female,28.0,16.1,NA,S,1
1,2,female,42.0,26.0,NA,S,1
0,3,male,17.0,7.125,NA,S,0
0,1,male,50.0,55.9,E44,S,1
1,1,female,14.0,120.0,B96 B98,S,3
0,3,female,21.0,34.375,NA,S,4
1,2,female,24.0,18.75,NA,S,5
0,1,male,64.0,263.0,C23 C25 C27,S,5
0,2,male,31.0,10.5,NA,S,0
1,2,female,45.0,26.25,NA,S,2
0,3,male,20.0,9.5,NA,S,0
0,3,male,25.0,7.775,NA,S,1
1,2,female,28.0,13.0,NA,S,0
1,3,male,28.0,8.1125,NA,S,0
1,1,male,4.0,81.8583,A34,S,2
1,2,female,13.0,19.5,NA,S,1
1,1,male,34.0,26.55,NA,S,0
1,3,female,5.0,19.2583,NA,C,3
1,1,male,52.0,30.5,C104,S,0
0,2,male,36.0,27.75,NA,S,3
0,3,male,28.0,19.9667,NA,S,1
0,1,male,30.0,27.75,C111,C,0
1,1,male,49.0,89.1042,C92,C,1
0,3,male,28.0,8.05,NA,S,0
1,3,male,29.0,7.8958,NA,C,0
0,1,male,65.0,26.55,E38,S,0
1,1,female,28.0,51.8625,D21,S,1
1,2,female,50.0,10.5,NA,S,0
0,3,male,28.0,7.75,NA,Q,0
1,1,male,48.0,26.55,E12,S,0
0,3,male,34.0,8.05,NA,S,0
0,1,male,47.0,38.5,E63,S,0
0,2,male,48.0,13.0,NA,S,0
0,3,male,28.0,8.05,NA,S,0
0,3,male,38.0,7.05,NA,S,0
0,2,male,28.0,0.0,NA,S,0
0,1,male,56.0,26.55,NA,S,0
0,3,male,28.0,7.725,NA,Q,0
1,3,female,0.75,19.2583,NA,C,3
0,3,male,28.0,7.25,NA,S,0
0,3,male,38.0,8.6625,NA,S,0
1,2,female,33.0,27.75,NA,S,3
1,2,female,23.0,13.7917,D,C,0
0,3,female,22.0,9.8375,NA,S,0
0,1,male,28.0,52.0,A14,S,0
0,2,male,34.0,21.0,NA,S,1
0,3,male,29.0,7.0458,NA,S,1
0,3,male,22.0,7.5208,NA,S,0
1,3,female,2.0,12.2875,NA,S,1
0,3,male,9.0,46.9,NA,S,7
0,2,male,28.0,0.0,NA,S,0
0,3,male,50.0,8.05,NA,S,0
1,3,female,63.0,9.5875,NA,S,0
1,1,male,25.0,91.0792,B49,C,1
0,3,female,28.0,25.4667,NA,S,4
1,1,female,35.0,90.0,C93,S,1
0,1,male,58.0,29.7,B37,C,0
0,3,male,30.0,8.05,NA,S,0
1,3,male,9.0,15.9,NA,S,2
0,3,male,28.0,19.9667,NA,S,1
0,3,male,21.0,7.25,NA,S,0
0,1,male,55.0,30.5,C30,S,0
0,1,male,71.0,49.5042,NA,C,0
0,3,male,21.0,8.05,NA,S,0
0,3,male,28.0,14.4583,NA,C,0
1,1,female,54.0,78.2667,D20,C,1
0,3,male,28.0,15.1,NA,S,0
0,1,female,25.0,151.55,C22 C26,S,3
0,3,male,24.0,7.7958,NA,S,0
0,3,male,17.0,8.6625,NA,S,0
0,3,female,21.0,7.75,NA,Q,0
0,3,female,28.0,7.6292,NA,Q,0
0,3,female,37.0,9.5875,NA,S,0
1,1,female,16.0,86.5,B79,S,0
0,1,male,18.0,108.9,C65,C,1
1,2,female,33.0,26.0,NA,S,2
1,1,male,28.0,26.55,NA,S,0
0,3,male,28.0,22.525,NA,S,0
1,3,male,26.0,56.4958,NA,S,0
1,3,male,29.0,7.75,NA,Q,0
0,3,male,28.0,8.05,NA,S,0
1,1,male,36.0,26.2875,E25,S,0
1,1,female,54.0,59.4,NA,C,1
0,3,male,24.0,7.4958,NA,S,0
0,1,male,47.0,34.0208,D46,S,0
1,2,female,34.0,10.5,F33,S,0
0,3,male,28.0,24.15,NA,Q,0
1,2,female,36.0,26.0,NA,S,1
0,3,male,32.0,7.8958,NA,S,0
1,1,female,30.0,93.5,B73,S,0
0,3,male,22.0,7.8958,NA,S,0
0,3,male,28.0,7.225,NA,C,0
1,1,female,44.0,57.9792,B18,C,1
0,3,male,28.0,7.2292,NA,C,0
0,3,male,40.5,7.75,NA,Q,0
1,2,female,50.0,10.5,NA,S,0
0,1,male,28.0,221.7792,C95,S,0
0,3,male,39.0,7.925,NA,S,0
0,2,male,23.0,11.5,NA,S,3
1,2,female,2.0,26.0,NA,S,2
0,3,male,28.0,7.2292,NA,C,0
0,3,male,17.0,7.2292,NA,C,2
1,3,female,28.0,22.3583,NA,C,2
0,3,female,30.0,8.6625,NA,S,0
1,2,female,7.0,26.25,NA,S,2
0,1,male,45.0,26.55,B38,S,0
1,1,female,30.0,106.425,NA,C,0
0,3,male,28.0,14.5,NA,S,0
1,1,female,22.0,49.5,B39,C,2
1,1,female,36.0,71.0,B22,S,2
0,3,female,9.0,31.275,NA,S,6
0,3,female,11.0,31.275,NA,S,6
1,2,male,32.0,26.0,NA,S,1
0,1,male,50.0,106.425,C86,C,1
0,1,male,64.0,26.0,NA,S,0
1,2,female,19.0,26.0,NA,S,1
1,2,male,28.0,13.8625,NA,C,0
0,3,male,33.0,20.525,NA,S,2
1,2,male,8.0,36.75,NA,S,2
1,1,male,17.0,110.8833,C70,C,2
0,2,male,27.0,26.0,NA,S,0
0,3,male,28.0,7.8292,NA,Q,0
1,3,male,22.0,7.225,NA,C,0
1,3,female,22.0,7.775,NA,S,0
0,1,male,62.0,26.55,NA,S,0
1,1,female,48.0,39.6,A16,C,1
0,1,male,28.0,227.525,NA,C,0
1,1,female,39.0,79.65,E67,S,2
1,3,female,36.0,17.4,NA,S,1
0,3,male,28.0,7.75,NA,Q,0
0,3,male,40.0,7.8958,NA,S,0
0,2,male,28.0,13.5,NA,S,0
0,3,male,28.0,8.05,NA,S,0
0,3,female,28.0,8.05,NA,S,0
0,3,male,24.0,24.15,NA,S,2
0,3,male,19.0,7.8958,NA,S,0
0,3,female,29.0,21.075,NA,S,4
0,3,male,28.0,7.2292,NA,C,0
1,3,male,32.0,7.8542,NA,S,0
1,2,male,62.0,10.5,NA,S,0
1,1,female,53.0,51.4792,C101,S,2
1,1,male,36.0,26.3875,E25,S,0
1,3,female,28.0,7.75,NA,Q,0
0,3,male,16.0,8.05,NA,S,0
0,3,male,19.0,14.5,NA,S,0
1,2,female,34.0,13.0,NA,S,0
1,1,female,39.0,55.9,E44,S,1
0,3,female,28.0,14.4583,NA,C,1
1,3,male,32.0,7.925,NA,S,0
1,2,female,25.0,30.0,NA,S,2
1,1,female,39.0,110.8833,C68,C,2
0,2,male,54.0,26.0,NA,S,0
0,1,male,36.0,40.125,A10,C,0
0,3,male,28.0,8.7125,NA,C,0
1,1,female,18.0,79.65,E68,S,2
0,2,male,47.0,15.0,NA,S,0
1,1,male,60.0,79.2,B41,C,2
0,3,male,22.0,8.05,NA,S,0
0,3,male,28.0,8.05,NA,S,0
0,3,male,35.0,7.125,NA,S,0
1,1,female,52.0,78.2667,D20,C,1
0,3,male,47.0,7.25,NA,S,0
0,3,female,28.0,7.75,NA,Q,2
0,2,male,37.0,26.0,NA,S,1
0,3,male,36.0,24.15,NA,S,2
1,2,female,28.0,33.0,NA,S,0
0,3,male,49.0,0.0,NA,S,0
0,3,male,28.0,7.225,NA,C,0
1,1,male,49.0,56.9292,A20,C,1
1,2,female,24.0,27.0,NA,S,3
0,3,male,28.0,7.8958,NA,S,0
0,1,male,28.0,42.4,NA,S,0
0,3,male,44.0,8.05,NA,S,0
1,1,male,35.0,26.55,NA,C,0
0,3,male,36.0,15.55,NA,S,1
0,3,male,30.0,7.8958,NA,S,0
1,1,male,27.0,30.5,NA,S,0
1,2,female,22.0,41.5792,NA,C,3
1,1,female,40.0,153.4625,C125,S,0
0,3,female,39.0,31.275,NA,S,6
0,3,male,28.0,7.05,NA,S,0
1,3,female,28.0,15.5,NA,Q,1
0,3,male,28.0,7.75,NA,Q,0
0,3,male,35.0,8.05,NA,S,0
1,2,female,24.0,65.0,NA,S,3
0,3,male,34.0,14.4,NA,S,2
0,3,female,26.0,16.1,NA,S,1
1,2,female,4.0,39.0,F4,S,3
0,2,male,26.0,10.5,NA,S,0
0,3,male,27.0,14.4542,NA,C,1
1,1,male,42.0,52.5542,D19,S,1
1,3,male,20.0,15.7417,NA,C,2
0,3,male,21.0,7.8542,NA,S,0
0,3,male,21.0,16.1,NA,S,0
0,1,male,61.0,32.3208,D50,S,0
0,2,male,57.0,12.35,NA,Q,0
1,1,female,21.0,77.9583,D9,S,0
0,3,male,26.0,7.8958,NA,S,0
0,3,male,28.0,7.7333,NA,Q,0
1,1,male,80.0,30.0,A23,S,0
0,3,male,51.0,7.0542,NA,S,0
1,1,male,32.0,30.5,B50,C,0
0,1,male,28.0,0.0,NA,S,0
0,3,female,9.0,27.9,NA,S,5
1,2,female,28.0,13.0,NA,S,0
0,3,male,32.0,7.925,NA,S,0
0,2,male,31.0,26.25,NA,S,2
0,3,female,41.0,39.6875,NA,S,5
0,3,male,28.0,16.1,NA,S,1
0,3,male,20.0,7.8542,NA,S,0
1,1,female,24.0,69.3,B35,C,0
0,3,female,2.0,27.9,NA,S,5
1,3,male,28.0,56.4958,NA,S,0
1,3,female,0.75,19.2583,NA,C,3
1,1,male,48.0,76.7292,D33,C,1
0,3,male,19.0,7.8958,NA,S,0
1,1,male,56.0,35.5,A26,C,0
